"host_id","host_yrs_exp","host_is_superhost.f","host_is_superhost.t","neighbourhood","neighbourhood_cleansed","latitude","longitude","property_type","room_entire","room_hotel","room_private","room_shared","accommodates","bedrooms","beds","amenities","price","minimum_nights","maximum_nights","minimum_minimum_nights","maximum_minimum_nights","minimum_maximum_nights","maximum_maximum_nights","minimum_nights_avg_ntm","maximum_nights_avg_ntm","availability_30","availability_60","availability_90","availability_365","number_of_reviews","number_of_reviews_ltm","number_of_reviews_l30d","first_review","last_review","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","reviews_per_month","n_bathrooms","bathroom_private","bathroom_shared","log_price","amenity_qty","fNBHD","entire_prop","has_wifi","has_parking","has_heating","has_ac","has_tv","has_fridge"
10525877,8,1,0,"Denver, Colorado, United States","Sunnyside",39.77667,-105.01997,"Entire guest suite",1,0,0,0,4,1,2,"[""Extra pillows and blankets"", ""Shampoo"", ""Carbon monoxide alarm"", ""Dishes and silverware"", ""Dryer"", ""Hot water"", ""Bed linens"", ""Smoke alarm"", ""Essentials"", ""Mini fridge"", ""Private entrance"", ""Hangers"", ""Coffee maker"", ""Conditioner"", ""Iron"", ""Hair dryer"", ""Microwave"", ""Lockbox"", ""Heating"", ""Wifi"", ""Hot water kettle"", ""Dedicated workspace: desk and office chair"", ""Long term stays allowed"", ""Washer""]",102,1,30,1,3,1125,1125,2.2,1125,9,39,69,196,10,10,3,"2021-05-05","2021-07-07",4.7,4.5,5,5,4.8,4.9,4.5,"f",3.75,1,1,0,4.62497281328427,1,"Sunnyside",2,1,0,1,0,0,0
17368806,7,1,0,"Denver, Colorado, United States","University Park",39.67675,-104.9452,"Entire residential home",1,0,0,0,6,3,3,"[""Indoor fireplace"", ""Breakfast"", ""Iron"", ""TV"", ""Dryer"", ""Heating"", ""Dedicated workspace"", ""Hair dryer"", ""Shampoo"", ""Essentials"", ""Smoke alarm"", ""Long term stays allowed"", ""Washer"", ""Private entrance"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Hangers"", ""Kitchen"", ""Wifi"", ""Hot tub"", ""Smart lock"", ""Air conditioning""]",395,5,1125,5,5,1125,1125,5,1125,0,0,0,0,3,3,0,"2021-04-04","2021-05-31",5,5,5,5,5,5,4,"f",0.82,3,1,0,5.97888576490112,1,"University Park",2,1,1,1,1,1,0
372227538,1,0,1,"Denver, Colorado, United States","Highland",39.76562,-105.01694,"Entire guest suite",1,0,0,0,4,1,2,"[""Wine glasses"", ""Shampoo"", ""Dishwasher"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Dishes and silverware"", ""Dryer"", ""Hot water"", ""Smoke alarm"", ""TV"", ""Security cameras on property"", ""Essentials"", ""Backyard"", ""Freezer"", ""Private entrance"", ""Hangers"", ""Kitchen"", ""Coffee maker"", ""Free parking on premises"", ""Fire extinguisher"", ""Dedicated workspace"", ""Fire pit"", ""Stainless steel oven"", ""Iron"", ""Free street parking"", ""Nespresso machine"", ""Refrigerator"", ""Hair dryer"", ""Microwave"", ""Cooking basics"", ""Hot tub"", ""Stove"", ""Heating"", ""Wifi"", ""Long term stays allowed"", ""Washer"", ""First aid kit"", ""Dining table"", ""Outdoor furniture"", ""Baking sheet""]",125,1,29,1,1,1125,1125,1,1125,2,4,16,263,16,16,1,"2021-03-30","2021-07-11",5,5,5,5,5,5,4.94,"t",4.14,1,1,0,4.8283137373023,1,"Highland",2,1,1,1,1,1,1
603505,10,0,1,"Denver, Colorado, United States","Chaffee Park",39.78877,-105.01996,"Entire bungalow",1,0,0,0,4,3,2,"[""Free washer \u2013 In unit"", ""Hot water"", ""Iron"", ""Portable fans"", ""Hot water kettle"", ""Cleaning products"", ""Stainless steel electric stove"", ""BBQ grill"", ""Coffee maker"", ""Central heating"", ""Mini fridge"", ""Outdoor furniture"", ""Hair dryer"", ""Toaster"", ""Keypad"", ""Ceiling fan"", ""Baking sheet"", ""Refrigerator"", ""Barbecue utensils"", ""Microwave"", ""Shampoo"", ""Free dryer \u2013 In unit"", ""Essentials"", ""Security cameras on property"", ""Dedicated workspace: office chair, desk, and table"", ""First aid kit"", ""Patio or balcony"", ""Outdoor dining area"", ""Smoke alarm"", ""Long term stays allowed"", ""Record player"", ""Dishwasher"", ""Wine glasses"", ""Dishes and silverware"", ""Stainless steel oven"", ""Cooking basics"", ""Private entrance"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Hangers"", ""TV with Amazon Prime Video, Netflix, Roku"", ""Kitchen"", ""Wifi"", ""Shower gel"", ""Freezer"", ""Fire extinguisher"", ""Free street parking"", ""Private fenced garden or backyard"", ""Air conditioning"", ""Keurig coffee machine"", ""Board games"", ""Dining table""]",195,5,1125,5,5,1125,1125,5,1125,0,0,0,0,2,2,0,"2021-04-12","2021-04-21",5,5,5,5,5,5,4.5,"f",0.59,2,1,0,5.27299955856375,1,"Chaffee Park",2,1,1,1,1,1,1
346606065,1,1,0,"Denver, Colorado, United States","Harvey Park South",39.66632,-105.0436,"Entire guest suite",1,0,0,0,8,3,4,"[""Clothing storage"", ""Extra pillows and blankets"", ""Shampoo"", ""Carbon monoxide alarm"", ""Dishes and silverware"", ""Hot water"", ""Bed linens"", ""Smoke alarm"", ""Essentials"", ""Mini fridge"", ""Hangers"", ""Coffee maker"", ""Cleaning products"", ""Dedicated workspace"", ""Free street parking"", ""Keypad"", ""Hair dryer"", ""Microwave"", ""Heating"", ""Wifi"", ""Hot water kettle"", ""Long term stays allowed""]",174,1,30,1,3,1125,1125,2.4,1125,16,46,76,243,10,10,4,"2021-05-21","2021-07-09",5,5,5,5,5,4.8,5,"f",4.69,1,1,0,5.15905529921453,1,"Harvey Park South",2,1,1,1,0,0,0
44679418,6,1,0,"Denver, Colorado, United States","Globeville",39.77504,-104.9936,"Private room in townhouse",0,0,1,0,2,1,1,"[""Ethernet connection"", ""Wine glasses"", ""Private patio or balcony"", ""Extra pillows and blankets"", ""Shampoo"", ""Dishwasher"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Toaster"", ""Dishes and silverware"", ""Dryer"", ""Hot water"", ""BBQ grill"", ""Bed linens"", ""Lock on bedroom door"", ""TV"", ""Smoke alarm"", ""Security cameras on property"", ""Room-darkening shades"", ""Essentials"", ""Mini fridge"", ""Freezer"", ""Shower gel"", ""Luggage dropoff allowed"", ""Hangers"", ""Drying rack for clothing"", ""Kitchen"", ""Coffee maker"", ""Barbecue utensils"", ""Free parking on premises"", ""Dedicated workspace"", ""Stainless steel oven"", ""Iron"", ""Free street parking"", ""Refrigerator"", ""Keypad"", ""Hair dryer"", ""Bathtub"", ""Stainless steel stove"", ""Microwave"", ""Cooking basics"", ""Indoor fireplace"", ""Portable fans"", ""Heating"", ""Wifi"", ""Clothing storage: closet"", ""Body soap"", ""Hot water kettle"", ""Long term stays allowed"", ""Rice maker"", ""Washer"", ""Dining table"", ""Outdoor furniture"", ""Outdoor dining area"", ""Baking sheet""]",75,2,1125,1,2,1125,1125,2,1125,3,20,38,47,8,8,8,"2021-07-08","2021-07-19",5,5,5,5,5,5,5,"f",8,1,1,0,4.31748811353631,1,"Globeville",1,1,1,1,1,1,1
71190937,5,1,0,"","Capitol Hill",39.73625,-104.98115,"Entire condominium (condo)",1,0,0,0,4,2,2,"[""Patio or balcony"", ""Shampoo"", ""Carbon monoxide alarm"", ""Dryer"", ""Smoke alarm"", ""TV"", ""Essentials"", ""Hangers"", ""Kitchen"", ""Free parking on premises"", ""Fire extinguisher"", ""Dedicated workspace"", ""Iron"", ""Cooking basics"", ""Lockbox"", ""Indoor fireplace"", ""Pack \u2019n Play/travel crib"", ""Heating"", ""Wifi"", ""Long term stays allowed"", ""Washer"", ""First aid kit""]",140,4,1125,4,4,1125,1125,4,1125,10,14,32,32,0,0,0,"","",NA,NA,NA,NA,NA,NA,NA,"f",0,2,1,0,4.9416424226093,1,"Capitol Hill",2,1,1,1,0,1,0
354894350,1,1,0,"","Five Points",39.74873,-104.97865,"Entire condominium (condo)",1,0,0,0,3,1,1,"[""Shampoo"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Dryer"", ""Smoke alarm"", ""TV"", ""Essentials"", ""Smart lock"", ""Hangers"", ""Kitchen"", ""Free parking on premises"", ""Breakfast"", ""Fire extinguisher"", ""Iron"", ""Hair dryer"", ""Hot tub"", ""Cooking basics"", ""Heating"", ""Wifi"", ""Gym"", ""Pool"", ""Long term stays allowed"", ""Washer"", ""First aid kit""]",263,29,90,29,29,1125,1125,29,1125,5,5,15,290,0,0,0,"","",NA,NA,NA,NA,NA,NA,NA,"t",0,1,1,0,5.57215403217776,1,"Five Points",2,1,1,1,1,1,0
25062616,7,0,1,"","Cole",39.76849,-104.96936,"Entire residential home",1,0,0,0,6,2,3,"[""Free residential garage on premises \u2013 2 spaces"", ""Wine glasses"", ""Extra pillows and blankets"", ""Patio or balcony"", ""BBQ grill"", ""Dishwasher"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Toaster"", ""Dishes and silverware"", ""Private fenced garden or backyard"", ""Hot water"", ""Bed linens"", ""Smoke alarm"", ""Security cameras on property"", ""Room-darkening shades"", ""Essentials"", ""Free washer \u2013 In unit"", ""Freezer"", ""Private entrance"", ""Board games"", ""Hangers"", ""Clothing storage: closet, walk-in closet, and dresser"", ""Kitchen"", ""Coffee maker"", ""Barbecue utensils"", ""Luggage dropoff allowed"", ""50\"" HDTV with Amazon Prime Video, HBO Max, Netflix, Roku"", ""Cleaning products"", ""Herbal Essence Color Therapy conditioner"", ""Fire extinguisher"", ""Stainless steel oven"", ""Free street parking"", ""Dove Body Wash body soap"", ""Refrigerator"", ""Hair dryer"", ""Free dryer \u2013 In unit"", ""Microwave"", ""Cooking basics"", ""Portable fans"", ""Heating"", ""Wifi"", ""Bikes"", ""Safe"", ""Laundromat nearby"", ""Keurig coffee machine"", ""Rice maker"", ""Herbal Essence Color Therapy shampoo"", ""First aid kit"", ""Outdoor furniture"", ""Outdoor dining area"", ""Electric stove"", ""Baking sheet""]",220,2,25,1,2,1125,1125,2,1125,1,3,3,3,42,42,8,"2021-03-24","2021-07-20",5,4.98,5,5,5,4.81,4.93,"t",10.33,2.5,1,0,5.39362754635236,1,"Cole",2,1,1,1,1,1,1
290230837,2,0,1,"","Capitol Hill",39.73839,-104.97852,"Entire condominium (condo)",1,0,0,0,2,1,1,"[""Fire extinguisher"", ""Heating"", ""Wifi"", ""Dedicated workspace"", ""Private entrance"", ""Iron"", ""Hangers"", ""Kitchen"", ""BBQ grill"", ""Long term stays allowed"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Washer"", ""Dryer"", ""Free parking on premises"", ""Hair dryer"", ""Smoke alarm"", ""Lockbox"", ""Essentials""]",65,90,365,90,90,365,365,90,365,0,0,0,202,0,0,0,"","",NA,NA,NA,NA,NA,NA,NA,"f",0,1,1,0,4.17438726989564,1,"Capitol Hill",2,1,1,1,1,0,0
261774896,2,0,1,"Denver, Colorado, United States","Union Station",39.75449,-105.00063,"Entire rental unit",1,0,0,0,2,1,1,"[""Extra pillows and blankets"", ""Oven"", ""Patio or balcony"", ""Shampoo"", ""Dishwasher"", ""Air conditioning"", ""Carbon monoxide alarm"", ""BBQ grill"", ""Dishes and silverware"", ""Dryer"", ""Hot water"", ""Bed linens"", ""Smoke alarm"", ""TV"", ""Room-darkening shades"", ""Essentials"", ""Smart lock"", ""Luggage dropoff allowed"", ""Hangers"", ""Kitchen"", ""Coffee maker"", ""Fire extinguisher"", ""Single level home"", ""Iron"", ""Refrigerator"", ""Hair dryer"", ""Bathtub"", ""Elevator"", ""Microwave"", ""Cooking basics"", ""Hot tub"", ""Stove"", ""Heating"", ""Wifi"", ""Gym"", ""Paid parking off premises"", ""Pool"", ""Long term stays allowed"", ""Washer""]",254,1,45,1,3,45,45,1.1,45,1,1,1,1,3,3,0,"2021-04-17","2021-05-31",5,5,5,4,4.67,4.67,5,"t",0.92,1,1,0,5.53733426701854,1,"Union Station",2,1,1,1,1,1,1
222445795,3,1,0,"Denver, Colorado, United States","West Colfax",39.7352,-105.03855,"Entire condominium (condo)",1,0,0,0,6,3,5,"[""Dedicated workspace"", ""Heating"", ""Wifi"", ""Private entrance"", ""Hangers"", ""Kitchen"", ""Long term stays allowed"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Washer"", ""Dryer"", ""Free parking on premises"", ""Keypad"", ""Hair dryer"", ""Smoke alarm"", ""TV"", ""Essentials""]",150,30,1125,30,30,1125,1125,30,1125,5,35,65,339,1,1,0,"2021-05-07","2021-05-07",5,5,5,5,5,5,5,"t",0.38,2.5,1,0,5.01063529409626,1,"West Colfax",2,1,1,1,1,1,0
390107054,0,0,1,"","Berkeley",39.77356,-105.04353,"Entire condominium (condo)",1,0,0,0,4,2,3,"[""Extra pillows and blankets"", ""Patio or balcony"", ""Shampoo"", ""Dishwasher"", ""Air conditioning"", ""Carbon monoxide alarm"", ""BBQ grill"", ""Dishes and silverware"", ""Dryer"", ""Hot water"", ""Viking stainless steel oven"", ""Bed linens"", ""Smoke alarm"", ""Room-darkening shades"", ""Essentials"", ""Hangers"", ""Kitchen"", ""Coffee maker"", ""Viking gas stove"", ""Free parking on premises"", ""Fire extinguisher"", ""Iron"", ""Refrigerator"", ""Hair dryer"", ""TV with standard cable"", ""Microwave"", ""Cooking basics"", ""Heating"", ""Wifi"", ""Long term stays allowed"", ""Washer"", ""First aid kit"", ""Cable TV""]",238,1,365,1,2,365,365,1.9,365,9,32,62,328,16,16,6,"2021-03-27","2021-07-15",4.88,5,4.94,4.88,5,5,4.63,"t",4.03,1,1,0,5.47227067367148,1,"Berkeley",2,1,1,1,1,1,1
19537651,7,0,1,"Denver, Colorado, United States","Cheesman Park",39.73953,-104.96759,"Entire guest suite",1,0,0,0,2,1,1,"[""Wine glasses"", ""Extra pillows and blankets"", ""Dove shampoo"", ""Carbon monoxide alarm"", ""Clothing storage: walk-in closet"", ""Hot water"", ""Bed linens"", ""Smoke alarm"", ""TV"", ""Essentials"", ""Mini fridge"", ""Freezer"", ""Private entrance"", ""Luggage dropoff allowed"", ""Hangers"", ""Coffee maker"", ""Fire extinguisher"", ""Iron"", ""Free street parking"", ""Refrigerator"", ""Keypad"", ""Hair dryer"", ""Bathtub"", ""Dedicated workspace: office chair and desk"", ""Microwave"", ""Wifi"", ""Hot water kettle"", ""Dove body soap"", ""Keurig coffee machine"", ""Outdoor furniture"", ""Outdoor dining area"", ""Portable air conditioning"", ""Radiant heating""]",129,2,7,2,2,1125,1125,2,1125,2,10,10,10,25,25,5,"2021-06-30","2021-07-19",5,5,5,5,5,4.96,4.88,"f",25,1,1,0,4.85981240436167,1,"Cheesman Park",2,1,1,1,1,1,1
6439464,8,1,0,"","Hale",39.73789,-104.93128,"Entire residential home",1,0,0,0,6,3,3,"[""Dedicated workspace"", ""Hair dryer"", ""Wifi"", ""Smoke alarm"", ""Kitchen"", ""Long term stays allowed"", ""Iron"", ""TV"", ""Fire extinguisher"", ""Washer"", ""Pack \u2019n Play/travel crib"", ""Free parking on premises"", ""Essentials"", ""Cooking basics"", ""Dryer"", ""Private entrance"", ""Carbon monoxide alarm"", ""Heating"", ""Hangers"", ""Air conditioning""]",200,30,30,30,30,1125,1125,30,1125,9,9,9,9,0,0,0,"","",NA,NA,NA,NA,NA,NA,NA,"t",0,2,1,0,5.29831736654804,1,"Hale",2,1,1,1,1,1,0
261774896,2,0,1,"Denver, Colorado, United States","Union Station",39.75582,-105.00148,"Entire rental unit",1,0,0,0,2,1,1,"[""Extra pillows and blankets"", ""Oven"", ""Shampoo"", ""Dishwasher"", ""Air conditioning"", ""Carbon monoxide alarm"", ""BBQ grill"", ""Dishes and silverware"", ""Dryer"", ""Hot water"", ""Bed linens"", ""Smoke alarm"", ""TV"", ""Room-darkening shades"", ""Essentials"", ""Smart lock"", ""Luggage dropoff allowed"", ""Hangers"", ""Kitchen"", ""Coffee maker"", ""Fire extinguisher"", ""Dedicated workspace"", ""Single level home"", ""Iron"", ""Refrigerator"", ""Hair dryer"", ""Bathtub"", ""Elevator"", ""Microwave"", ""Hot tub"", ""Stove"", ""Heating"", ""Wifi"", ""Gym"", ""Paid parking off premises"", ""Pool"", ""Long term stays allowed"", ""Washer""]",254,1,45,1,3,45,45,1.1,45,2,17,29,47,1,1,0,"2021-04-11","2021-04-11",5,5,5,5,5,5,5,"t",0.29,1,1,0,5.53733426701854,1,"Union Station",2,1,1,1,1,1,1
