host_yrs_exp,room_private,accommodates,bedrooms,number_of_reviews,n_bathrooms,bathroom_private,log_price,has_parking,has_heating,has_ac,has_tv
1,0,3,1,0,1.0,1,4.90527477843843,1,0,0,1
5,0,12,3,11,3.5,1,6.177944114050599,1,1,1,1
8,0,6,2,75,2.0,1,5.36129216570943,1,1,1,1
5,0,4,1,14,1.0,1,5.04342511691925,1,1,1,1
1,0,3,1,0,1.0,1,4.84418708645859,1,0,0,1
7,0,4,1,5,1.0,1,4.59511985013459,1,1,1,1
8,0,4,1,1,1.0,1,4.74493212836325,1,1,1,1
1,0,1,1,0,1.0,0,3.5553480614894104,0,1,1,1
8,1,2,1,76,1.0,0,4.02535169073515,0,1,0,1
9,0,4,2,158,2.5,1,5.79301360838414,1,1,1,1
6,0,4,2,6,1.0,1,5.023880520846281,1,1,1,1
8,0,2,1,160,1.0,1,5.030437921392441,1,1,1,1
10,0,14,3,67,3.5,1,6.715383386334679,1,1,1,1
8,0,2,3,1,1.0,1,5.2933048247244905,1,1,1,1
5,0,2,1,217,1.0,1,5.370638028127661,1,1,1,1
3,0,8,5,0,2.5,1,5.29831736654804,1,1,1,1
8,1,4,1,5,1.0,1,5.7037824746562,1,1,0,1
6,0,8,3,25,1.0,1,5.579729825986219,1,1,1,1
3,0,2,1,68,1.5,1,4.5217885770490405,1,1,1,1
6,0,2,1,102,1.0,1,4.33073334028633,1,1,1,1
9,0,2,1,470,1.0,1,4.7791234931115305,1,1,1,1
6,0,2,1,39,1.0,1,4.0943445622220995,1,1,1,1
4,0,4,2,64,1.0,1,5.010635294096259,1,1,0,1
5,0,6,2,53,2.0,1,5.4380793089232,1,1,1,1
7,0,2,1,1,1.0,1,4.62497281328427,1,1,1,1
7,0,4,2,5,2.0,1,5.105945473900579,1,1,1,1
5,0,3,1,152,1.0,1,4.248495242049359,1,1,1,1
4,0,6,2,2,1.0,1,5.7037824746562,1,1,1,1
7,0,2,1,0,1.0,1,5.424950017481401,1,1,1,1
5,0,4,1,160,1.0,1,4.9628446302599105,1,1,1,1
5,0,3,1,0,1.0,1,5.46806014113513,1,1,1,1
9,0,2,1,84,1.0,1,4.6634390941120705,1,1,1,1
0,0,6,2,8,2.0,1,5.7493929859082495,1,1,1,1
3,0,6,2,75,1.0,1,5.932245187448009,1,1,1,1
3,0,4,1,1,1.0,1,4.60517018598809,0,1,1,1
9,0,5,2,0,2.0,1,5.26269018890489,1,1,1,1
5,0,4,2,12,2.5,1,5.6594822157596205,1,1,1,1
1,0,2,1,31,1.0,1,4.11087386417331,1,1,1,1
5,1,2,1,5,1.0,1,4.90527477843843,1,1,1,0
3,0,3,1,172,1.0,1,4.4998096703302695,1,1,1,1
7,0,4,2,45,1.0,1,4.70048036579242,1,1,1,1
5,0,8,3,58,3.5,1,6.276643489341639,1,1,1,1
5,1,2,1,115,1.0,0,4.48863636973214,1,1,1,1
3,0,4,1,0,1.0,1,4.804021044733259,1,1,1,1
7,0,2,1,153,1.0,1,4.0943445622220995,1,1,1,1
7,0,2,1,194,1.0,1,3.89182029811063,1,1,0,1
0,0,2,1,0,1.0,1,4.9904325867787405,0,1,1,1
0,0,16,5,9,3.0,1,7.1276936993474,1,1,1,1
4,1,2,1,0,1.0,1,4.06044301054642,1,1,1,1
1,1,4,1,28,2.0,0,4.820281565605041,0,1,1,1
2,1,2,1,54,1.5,0,4.06044301054642,0,1,1,1
3,0,4,2,7,1.0,1,6.05208916892442,1,1,1,1
6,1,4,2,27,1.0,0,5.416100402204419,1,1,1,1
8,0,4,2,80,1.0,1,4.44265125649032,1,1,1,1
2,0,3,1,113,1.0,1,4.06044301054642,1,1,1,1
5,0,2,1,3,1.0,1,4.33073334028633,1,1,1,1
3,1,1,1,0,1.0,0,3.61091791264422,0,1,0,1
7,0,4,2,1,2.0,1,5.010635294096259,1,1,1,1
1,0,2,1,2,1.0,1,3.9318256327243297,1,1,1,1
8,0,2,1,247,1.5,1,5.85793315448346,0,1,1,1
8,0,4,2,238,1.0,1,4.98360662170834,1,1,1,1
6,0,3,2,5,1.0,1,4.64439089914137,1,1,1,1
4,0,8,3,30,4.0,1,5.891644211825769,1,1,1,1
3,0,2,1,90,1.0,1,4.454347296253509,1,1,0,0
4,0,4,2,2,2.0,1,5.48063892334199,1,1,1,1
5,0,4,1,262,1.0,1,4.70048036579242,1,1,1,1
7,1,2,1,162,1.0,0,4.00733318523247,1,1,0,1
5,0,4,1,64,1.0,1,6.021023349349529,1,1,1,1
5,1,2,1,46,1.5,0,4.976733742420571,1,1,1,1
8,1,3,1,180,1.0,1,4.06044301054642,0,1,0,0
2,0,4,2,1,2.0,1,4.47733681447821,1,1,1,1
8,0,4,1,144,1.0,1,4.14313472639153,1,1,1,1
6,0,2,1,24,1.0,1,4.61512051684126,1,1,1,1
7,0,6,3,60,1.5,1,5.97380961186926,0,1,1,1
7,0,1,1,8,1.0,1,4.0943445622220995,1,1,1,1
4,0,7,2,1,1.0,1,5.52146091786225,1,1,1,1
3,0,4,1,284,1.0,1,4.9199809258281295,1,1,1,1
8,0,4,2,0,2.0,1,4.59511985013459,1,1,1,1
3,0,8,3,1,2.0,1,4.969813299576,1,1,1,1
3,0,2,1,68,1.0,1,4.46590811865458,1,1,1,1
8,0,6,3,92,2.0,1,5.77144112313002,1,1,1,1
4,0,5,2,122,1.0,1,5.2257466737132,1,1,1,1
7,0,2,1,0,1.0,1,5.1929568508902095,1,1,1,1
2,0,4,3,1,3.0,1,4.85981240436167,1,1,1,1
4,0,6,3,44,2.0,1,5.66642668811243,1,1,1,1
4,1,3,1,49,1.0,0,4.12713438504509,1,1,1,1
7,0,2,1,20,1.0,1,4.44265125649032,1,1,0,1
8,0,4,2,0,1.5,1,4.89034912822175,1,1,1,1
7,0,2,1,5,1.5,1,5.46806014113513,1,1,1,1
3,1,1,1,6,1.0,1,3.4011973816621603,0,1,1,1
5,0,2,1,148,1.0,1,4.9416424226093,1,1,0,1
7,0,2,1,5,1.0,1,4.90527477843843,1,1,1,1
6,0,2,1,2,1.0,1,5.21493575760899,1,1,1,1
9,0,7,4,0,2.0,1,4.4998096703302695,1,1,1,1
2,0,2,1,1,1.0,1,6.80128303447162,0,1,1,1
2,1,6,3,32,1.5,0,4.31748811353631,1,1,1,1
6,0,2,1,15,1.0,1,3.9120230054281495,0,1,1,1
3,0,4,1,6,1.0,1,4.9416424226093,1,1,1,1
9,0,6,3,68,2.5,1,5.416100402204419,1,1,0,1
6,0,6,1,74,1.0,1,4.92725368515721,1,1,1,1
6,1,1,1,181,1.0,1,4.56434819146784,0,1,1,0
10,0,5,3,0,2.0,1,5.39362754635236,1,1,1,1
7,0,6,4,0,3.5,1,5.85793315448346,1,1,1,1
3,0,7,3,53,1.0,1,4.787491742782049,1,1,1,1
6,0,4,1,132,1.0,1,5.51745289646471,0,1,1,1
7,1,2,1,1,1.0,1,5.29831736654804,0,1,1,1
4,0,2,1,9,1.0,1,4.0943445622220995,1,1,1,1
10,0,5,2,3,1.0,1,5.52146091786225,1,1,0,0
9,0,8,4,1,2.0,1,5.85793315448346,1,1,1,1
6,0,3,1,119,1.0,1,4.90527477843843,1,1,1,1
0,0,2,1,1,1.5,1,5.00394630594546,1,1,1,1
6,0,8,4,7,3.5,1,6.21460809842219,1,1,1,1
4,0,8,3,75,3.0,1,5.988961416889861,1,1,1,1
7,1,2,1,386,1.0,0,3.9120230054281495,1,1,1,1
5,0,4,1,19,1.0,1,4.969813299576,1,1,1,1
3,0,4,2,66,1.0,1,5.29831736654804,1,1,1,0
6,0,7,3,7,2.5,1,6.47697236288968,1,1,1,1
8,1,2,1,3,1.0,0,3.7841896339182597,1,1,0,0
3,0,6,3,15,2.5,1,5.68357976733868,1,1,1,1
6,0,4,2,3,2.0,1,5.44241771052179,1,1,1,1
2,0,2,1,175,1.0,1,4.17438726989564,1,1,1,1
3,0,2,1,137,1.0,1,4.753590191106361,1,1,1,1
3,0,2,1,166,1.0,1,3.85014760171006,1,1,1,1
10,0,2,1,173,1.5,1,4.59511985013459,1,1,1,1
2,0,8,5,1,3.5,1,6.15060276844628,1,1,1,1
5,0,4,1,319,1.0,1,3.9120230054281495,1,1,1,1
3,0,6,3,3,2.0,1,5.010635294096259,1,1,1,1
9,0,10,3,13,3.5,1,6.65929391968364,1,1,1,1
4,0,3,1,30,1.0,1,4.4188406077966,1,1,0,0
7,0,7,3,194,2.0,1,5.50125821054473,1,1,1,1
3,0,2,1,0,1.0,1,4.248495242049359,1,1,1,1
3,1,2,1,94,1.0,1,4.76217393479776,1,1,1,1
3,0,2,1,0,1.0,1,4.55387689160054,1,1,1,0
5,0,1,1,45,1.0,1,4.26267987704132,1,1,1,1
6,1,2,1,0,1.0,0,3.9120230054281495,1,1,1,1
6,0,2,1,242,1.0,1,4.44265125649032,1,1,0,1
8,0,4,1,32,1.0,1,5.24702407216049,1,1,1,1
1,1,2,1,22,1.0,1,4.17438726989564,1,1,1,1
